,id,smiles,value_type,value,units
138,CHEMBL2170526,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c(C2CC2)c1C,Ki,13.4,nM
143,CHEMBL2179751,CCCN(CCC)c1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1,Ki,22.0,nM
144,CHEMBL2179763,CC(C)c1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1,EC50,4.11,nM
146,CHEMBL3353436,CC1CCC(NC(=O)c2cc3cccnc3n(CCCCF)c2=O)CC1,EC50,21.8,nM
150,CHEMBL1950329,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,Ki,0.56,nM
152,CHEMBL1644681,CC1CCCN(Cc2cccc(-c3nc(-c4cccc(C(F)(F)F)c4)c[nH]3)c2)C1,EC50,70.0,nM
153,CHEMBL1644691,FC1CCN(Cc2cccc(-c3nc(-c4cccc(Cl)c4Cl)c[nH]3)c2)CC1,EC50,5.0,nM
155,CHEMBL1644740,Clc1cccc(-c2c[nH]c(-c3cccc(CN4CCCCC4)c3)n2)c1Cl,EC50,8.0,nM
161,CHEMBL3357373,CN1CC(CS(=O)(=O)c2ccc3c(c2)nc(CC(C)(C)C)n3CC2CC2)C1,EC50,32.0,nM
163,CHEMBL2218896,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,EC50,15.85,nM
165,CHEMBL3290053,CCCCCCC(C)(C)c1cc(OC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)C[C@@H]21,Ki,51.0,nM
166,CHEMBL561013,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,Ki,6.31,nM
170,CHEMBL567593,Cc1ccc(C(=O)NC2C(C)(C)[C@@H]3CC[C@@]2(C)C3)cc1CCN1CCOCC1,EC50,64.0,nM
174,CHEMBL2170528,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c(-c2ccc(CC)cc2)c1C,EC50,39.9,nM
175,CHEMBL2170544,CCCCCn1cc(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)c(=O)cc1C,EC50,84.2,nM
181,CHEMBL2381673,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccco3)cc12,Ki,6.57,nM
182,CHEMBL2381799,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccc(Cl)cc3Cl)cc12,Ki,37.0,nM
183,CHEMBL2381785,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccccc3)cc12,Ki,31.0,nM
189,CHEMBL3686333,CC(=O)/C(C)=N/Oc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,Ki,3.3,nM
