,id,smiles,value_type,value,units
2589,CHEMBL2029362,Cc1c(C(=O)N2CCC(NS(C)(=O)=O)(c3ccccc3)CC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,Ki,41.0,nM
2594,CHEMBL510854,CCOc1ccc(Cc2nc3cc(C(=O)N(CC(F)(F)F)CC(F)(F)F)ccc3n2CC2CC2)cc1,EC50,2.0,nM
2595,CHEMBL507572,CCCN(CCC)C(=O)c1ccc2c(c1)nc(Cc1ccc(OCC)cc1)n2CC1CC1,EC50,2.0,nM
2605,CHEMBL4126181,CCCCNc1cc(C(C)C)c(C(=O)NC2C3CC4CC(C3)CC2C4)nn1,EC50,49.35,nM
2611,CHEMBL480540,O=C(Cn1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)n1)NCc1ccccc1Cl,IC50,10.0,nM
2613,CHEMBL4129570,CC(C)c1cc(NC2CC2)nnc1C(=O)NC1C2CC3CC(C2)CC1C3,EC50,17.13,nM
2617,CHEMBL2152806,COCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(F)cc21,Ki,5.5,nM
2623,CHEMBL4085404,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C3(C(=O)OCCCCBr)CCC3)cc1OC2(C)C,Ki,0.7,nM
2624,CHEMBL4089791,CCCCCNC(=O)C(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,Ki,2.8,nM
2638,CHEMBL2023583,O=C(O)CCc1csc(NC(=O)c2cc3c(n(CC4CCCCC4)c2=O)CCCCCC3)n1,IC50,15.0,nM
2641,CHEMBL517646,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)cc1C1CC1,EC50,79.43,nM
2642,CHEMBL464069,O=C(NCc1ccc(F)cc1)c1cnc(Nc2cccc(Br)c2)cc1C(F)(F)F,EC50,79.43,nM
2645,CHEMBL2326285,CCN(CC)c1ccc(CN(c2ccc(Cl)cc2)S(=O)(=O)c2ccccc2)cc1,Ki,12.62,nM
2656,CHEMBL2348279,CCCCn1c(C)c(C)cc(NC(=O)c2ccc(C)cc2)c1=O,Ki,72.0,nM
2664,CHEMBL1162994,CC(C)(C)[C@H](NC(=O)n1c(=O)n(CCC2CCOCC2)c2ccccc21)C(N)=O,Ki,4.0,nM
2665,CHEMBL521668,O=C(N[C@@H]1CCCc2ccccc21)N1Cc2ccccc2N(CCN2CCOCC2)C1=O,Ki,9.0,nM
2674,CHEMBL2023574,O=C(O)c1ccc(NC(=O)c2cc3c(n(CC4CCCCC4)c2=O)CCCCCC3)cc1,IC50,38.0,nM
2682,CHEMBL3905334,CC1(C)CC(C(N)=O)N(C(=O)c2ccc(N3CC(F)(F)C3)c(OCC3CC3)n2)C1,EC50,6.6,nM
2683,CHEMBL3915420,O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CCC2(C1)CC2(F)F,EC50,4.8,nM
2699,CHEMBL2019083,CCCCn1c2c(cc(C(=O)NC3(C(=O)O)CCCCC3)c1=O)CCCCCC2,IC50,7.0,nM
2702,CHEMBL4216075,CCCCC/C=C\[C@H](C)/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,Ki,50.5,nM
2705,CHEMBL4215369,CCCCC/C=C\[C@H](C)/C=C\C/C=C\C/C=C\CCCC(=O)NC1CC1,Ki,4.3,nM
2721,CHEMBL3092889,CCc1ccccc1-c1nc2c(N3CCN(C)CC3)nc(C)nc2n1C1CCOCC1,Ki,31.8,nM
2734,CHEMBL595705,COc1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)N2CCC3(CC2)CC3NS(=O)(=O)C(F)(F)F)cc1,Ki,0.65,nM
2748,CHEMBL3686342,CC(C)(C)NOc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,Ki,20.0,nM
2751,CHEMBL4238778,CCCC(C)O/N=C(/C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C)C[C@H]21,EC50,11.5,nM
2752,CHEMBL4240996,CCCCO/N=C(\C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C)C[C@H]21,EC50,9.14,nM
2754,CHEMBL1762282,CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)CCC3CCCC3)CC2)cc1,EC50,85.0,nM
2760,CHEMBL2441472,O=C(c1ccc2c(c1)c1ccccc1n2Cc1ccncc1)N1CCCCC1,Ki,91.0,nM
2762,CHEMBL3639852,CC(C)(C)c1cn(C[C@H]2CCCO2)/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@H]2CCC[N+]2(C)[O-])s1,Ki,24.0,nM
2766,CHEMBL3265175,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCOC(=O)C[C@@H]21,Ki,94.0,nM
2773,CHEMBL2022360,O=C(NC1CCCCC1)c1cc2ccccc2n(Cc2ccccc2)c1=O,Ki,16.0,nM
2777,CHEMBL409491,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(O)ccc23)C1(C)C,Ki,8.511,nM
2778,CHEMBL259463,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(Br)cc23)C1(C)C,Ki,6.6,nM
2788,CHEMBL4129072,CC(C)c1cc(NC2CCCC2)nnc1C(=O)NC1C2CC3CC(C2)CC1C3,EC50,5.701,nM
2789,CHEMBL4127676,CC(C)c1cc(NCCO)nnc1C(=O)NC12CC3CC(CC(C3)C1)C2,EC50,42.64,nM
2793,CHEMBL4070881,COc1cccc2c(=O)c(C(=O)NC34CC5CC(CC(C5)C3)C4)cn(CCOCC[18F])c12,Ki,1.2,nM
2800,CHEMBL4756103,Cc1ccc(C(=O)NC2CCCCCC2)c(OCc2ccc(F)cc2)n1,Ki,33.9,nM
2806,CHEMBL3650098,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2ONC(C)C)cc(C(C)(C)C)n1C,Ki,16.0,nM
2807,CHEMBL3650128,CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1NNC(=O)c1ccncc1,Ki,0.8,nM
2809,CHEMBL2336544,CCN(CC)c1ccc(CN(c2ccccc2)S(=O)(=O)c2ccc(C(C)C)cc2)cc1,Ki,30.0,nM
2810,CHEMBL2336541,CCN(CC)c1ccc(CN(C2CCCC2)S(=O)(=O)c2ccc(C)cc2)cc1,Ki,36.0,nM
2812,CHEMBL2336565,CCN(CC)c1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccc(C(C)C)cc2)cc1,Ki,71.0,nM
2816,CHEMBL3234036,COc1ccc2c(c1)N(C)C(C)(C)[C@@H]1CC[C@@H](C)C[C@@H]21,Ki,54.0,nM
2818,CHEMBL2321921,CCN(CC)c1ccc(CN(C(=O)C2CCCCC2)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,Ki,35.0,nM
2819,CHEMBL382728,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)cc1,Ki,1.0,nM
2828,CHEMBL3974329,O=C(c1ccc(C2CC2)c(OCC2CC2)n1)N1CCC(O)(C(F)(F)F)C1,EC50,87.8,nM
2829,CHEMBL3669064,COc1nc(NCCc2ccc(F)cc2)nc(-c2ccc(OC)c(OC)c2)n1,IC50,11.0,nM
2830,CHEMBL3669067,COC(=O)CCc1cccc(-c2nc(NCCc3ccc(F)cc3)nc(OC)n2)c1,IC50,12.0,nM
2831,CHEMBL3669073,COc1nc(NCCc2ccc(F)cc2)nc(-c2ccc(F)c(C(C)(C)O)c2)n1,IC50,8.0,nM
2832,CHEMBL3937354,O=C(c1ccc(N2CCCC2)c(OCC2CC2)n1)N1CCS(=O)(=O)CC1,EC50,95.9,nM
2833,CHEMBL3946121,Cc1nc(C(C)(CS(C)(=O)=O)NC(=O)c2cc(O[C@@H](C)C(F)(F)F)c(C3CCC3)cn2)no1,EC50,3.0,nM
2834,CHEMBL4866198,Cc1c(Br)cn(Cc2ccccc2Cl)c(=O)c1NC(=O)C1CCCCCC1,EC50,15.0,nM
2838,CHEMBL3933319,CC1(C)CCCN1C(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,0.6,nM
2840,CHEMBL3959714,CC1(O)C[C@@H](C(N)=O)N(C(=O)c2ccc(N3CC(F)(F)C3)c(OCC3CC3)n2)C1,EC50,30.1,nM
2841,CHEMBL3897330,NC(=O)[C@@H]1CC(F)(F)CN1C(=O)c1ccc(C2(F)COC2)c(OCC2CC2)n1,EC50,52.2,nM
2846,CHEMBL188887,CCCCCn1c(C)c(C(=O)Cc2cccc(OC)c2)c2ccccc21,Ki,84.0,nM
2847,CHEMBL361088,CCCCCn1c(C)c(C(=O)Cc2ccccc2OC)c2ccccc21,Ki,82.0,nM
2852,CHEMBL3400939,CCCCc1ccc(NC(=O)N2CCN(C(=O)CCC3CCCC3)CC2)cc1,EC50,20.0,nM
2853,CHEMBL3235056,CC(C)(C)c1cc(NC(=O)[C@H]2CCCN2c2ccc(C(F)(F)F)cn2)no1,EC50,33.0,nM
2871,CHEMBL4581919,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1cn(CCO)nc1-2,Ki,39.6,nM
2872,CHEMBL4444725,CCCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)c1cnoc1-2,Ki,12.8,nM
2884,CHEMBL4085733,Cc1cc(-c2cc(C(=O)N[C@H]3CC[C@H](C)CC3)c(=O)n(Cc3ccc(F)cc3)n2)ccc1Cl,Ki,9.0,nM
2885,CHEMBL4091845,Cc1cc(-c2cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)n(Cc3ccc(F)cc3)n2)ccc1Cl,Ki,3.4,nM
2886,CHEMBL4084087,Cc1cc(-c2cc(C(=O)NC3CCCCC3)c(=O)n(Cc3ccc(F)cc3)n2)ccc1Cl,Ki,4.7,nM
2887,CHEMBL3893210,O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CCC(O)(C(F)(F)F)C1,EC50,83.5,nM
2890,CHEMBL4550629,C1=C(CCN2CCOCC2)c2ccccc2/C1=C/c1ccc2c3c(cccc13)CC2,Ki,4.22,nM
2891,CHEMBL3952426,CC(C)(NC(=O)c1ccc(C2CCOCC2)c(OCC2CC2)n1)c1nccs1,EC50,53.7,nM
2892,CHEMBL3913393,Cc1nc([C@H](CC2CC2)NC(=O)c2cccc(-c3cccc(Cl)c3)n2)no1,EC50,99.7,nM
2894,CHEMBL3974280,NC(=O)[C@H](CC1CC1)NC(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,7.0,nM
2895,CHEMBL3911409,CN(C)C(=O)[C@H](CC1CC1)NC(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,9.3,nM
2896,CHEMBL551351,CCCCCn1c(C)c(C(=O)c2cccc3ccc(OC)cc23)c2ccccc21,Ki,10.4,nM
2898,CHEMBL4113373,Cc1nc([C@@](C)(CC2CC2)NC(=O)c2ccc(C3CC3)c(OCC3CC3)n2)no1,EC50,4.9,nM
2899,CHEMBL3985966,CC(C)C[C@H](NC(=O)c1ccc(C2CC2)c(OCC2CC2)n1)C(=O)OC(C)(C)C,EC50,26.4,nM
2900,CHEMBL4111706,Cc1nc([C@](C)(NC(=O)c2cc(OCC(F)(F)F)c(Cl)cn2)C2CC2)no1,EC50,13.3,nM
2902,CHEMBL3957126,Cc1nc([C@@](C)(NC(=O)c2cc(OCC(F)(F)F)c(N3CC(F)(F)C3)cn2)C2CC2)no1,EC50,10.5,nM
2903,CHEMBL3909299,Cc1nc(C(C)(CC2CC2)NC(=O)c2cc(O[C@@H](C)C(F)(F)F)c(C3CCC3)cn2)no1,EC50,0.8,nM
2913,CHEMBL434351,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C34CC5CC(CC(C5)C3)C4)cc1OC2(C)C,Ki,52.0,nM
2916,CHEMBL249827,CC1CCN(C(=O)c2ccc3c(c2)c2c(n3C)CN(C3CCCC3)C2)CC1,Ki,84.7,nM
2917,CHEMBL250626,CC1CCN(C(=O)c2ccc3c(c2)c2c(n3S(=O)(=O)c3ccccc3)CN(C3CCCC3)C2)CC1,Ki,17.9,nM
2923,CHEMBL3936122,Cc1nc(C(C)(CC2CC2)NC(=O)c2cc(OCC(F)(F)F)c(C3CCC3)cn2)no1,EC50,2.7,nM
2926,CHEMBL2326296,CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c2ccc(Cl)cc2)cc1,Ki,3.0,nM
2938,CHEMBL2338173,O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCN2CCOCC2)c2ccccc12,EC50,58.0,nM
2945,CHEMBL3582013,COC1CN(c2ccc(C(=O)NC3(CC(N)=O)COC3)nc2OCC2CC2)C1,EC50,66.8,nM
2952,CHEMBL568796,CC1(C)C(C(=O)c2cn(CCc3nsc(Cl)n3)c3ccccc23)C1(C)C,Ki,8.3,nM
2953,CHEMBL571342,CC1(C)C(C(=O)c2cn(CCc3ccsc3)c3ccccc23)C1(C)C,Ki,1.8,nM
2955,CHEMBL576920,CC1(C)C(C(=O)c2cn(CCO)c3ccccc23)C1(C)C,Ki,56.0,nM
2956,CHEMBL569992,O=C(c1cn(CC2CCOCC2)c2ccccc12)C12CC3CC(CC(C3)O1)C2,Ki,5.9,nM
2958,CHEMBL571774,CC1(C)C(C(=O)c2cn(Cc3ccccc3)c3ccccc23)C1(C)C,Ki,8.128,nM
2959,CHEMBL570198,CC1(C)C(C(=O)c2cn(CCn3cccc3)c3ccccc23)C1(C)C,Ki,1.778,nM
2960,CHEMBL569300,CC1(C)C(C(=O)c2cn(CCc3cccs3)c3ccccc23)C1(C)C,Ki,2.754,nM
2962,CHEMBL569299,CC1(C)C(C(=O)c2cn(CCCO)c3ccccc23)C1(C)C,Ki,2.1,nM
2967,CHEMBL3421695,CCCCCCn1nc2c3ccccc3n(CCCCC)cc-2c1=O,Ki,7.7,nM
2970,CHEMBL3650087,CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1/N=N/C(C)(C)C,Ki,6.2,nM
2971,CHEMBL3650088,CCCCn1/c(=N\C(=O)c2cc(C(F)(F)F)ccc2ONC(C)(C)C)cc(C(C)(C)C)n1C,Ki,77.0,nM
2972,CHEMBL3650093,CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)=O,Ki,1.0,nM
2979,CHEMBL3410831,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3F)c(=O)[nH]c12,Ki,0.18,nM
2980,CHEMBL3410823,CCCCCOc1c(OC)ccc2c(=O)n(CCc3ccncc3)ccc12,Ki,8.395,nM
3000,CHEMBL4086928,COc1cccc2c(C(=O)NC34CC5CC(CC(C5)C3)C4)cn(CCN3CCOCC3)c12,IC50,16.0,nM
3001,CHEMBL4856192,CCCCCn1cc(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,Ki,4.9,nM
3005,CHEMBL4866238,C#CCCCn1c(C)c(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,Ki,62.5,nM
3013,CHEMBL3092895,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n(CCN3CCCC3=O)c2n1,EC50,62.0,nM
3014,CHEMBL3092894,CC(=O)NCCn1c(-c2ccccc2Cl)nc2c(N3CCN(C)CC3)nc(C)nc21,EC50,53.8,nM
3016,CHEMBL4753891,Cc1c(Br)cc(C(=O)NC2CCCCCC2)c(=O)n1Cc1ccc(F)cc1,Ki,1.5,nM
3017,CHEMBL4757488,Cc1c(-c2ccc(F)cc2)cc(C(=O)NC2CCCCCC2)c(=O)n1Cc1ccc(F)cc1,Ki,28.9,nM
3045,CHEMBL3410722,CCCCOc1c(OC)ccc2cc(C(=O)NC3CCCCC3)c(=O)oc12,IC50,22.0,nM
3047,CHEMBL3400948,O=C(Nc1cc(C(F)(F)F)on1)N1CCCN(C(=O)c2ccc(C(F)(F)F)cn2)CC1,EC50,5.0,nM
3049,CHEMBL2316410,O=C(NCC1CCC1)c1ncccc1NC(=O)c1ccc(Cn2cccn2)c2ccccc12,IC50,69.0,nM
3067,CHEMBL4641997,Cn1cc2c(n1)c(O)c(C(=O)NC13CC4CC(CC(O)(C4)C1)C3)c(=O)n2CCCCF,Ki,6.2,nM
3068,CHEMBL4637535,CCCCCN1C(=O)C(C(=O)NC23CC4CC(CC(C4)C2)C3)=C(O)C2C1C=NN2C,Ki,0.9,nM
3069,CHEMBL4647226,CN1N=CC2C1C(O)=C(C(=O)NC13CC4CC(CC(C4)C1)C3)C(=O)N2CCCCF,EC50,21.92,nM
3072,CHEMBL3416124,CC1(C)Oc2cc([C@]34CC5CC(C[C@@](N=C=S)(C5)C3)C4)cc(O)c2[C@@H]2C[C@H](O)CC[C@H]21,Ki,13.1,nM
3080,CHEMBL3234706,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(C(F)(F)F)cn2)no1,EC50,0.07,nM
3082,CHEMBL3912397,O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CCC(C(O)C(F)(F)F)C1,EC50,32.9,nM
3085,CHEMBL1259244,CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CCC(=O)C[C@@H]32)CCCC1,Ki,3.34,nM
3088,CHEMBL3965356,CC(C)(C)N(Cc1ccccc1)C(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,37.0,nM
3089,CHEMBL3941906,CC1(C)COCN1C(=O)c1ccc(C2CC2)c(Cc2ccc(F)cc2)n1,EC50,3.1,nM
3094,CHEMBL1950351,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,Ki,9.0,nM
3098,CHEMBL520916,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,EC50,50.12,nM
3102,CHEMBL594553,Cc1cc(NC(=O)C(C)(C)C)cc(S(=O)(=O)N2CCOCC2)c1C,Ki,40.0,nM
3103,CHEMBL593625,Cc1cc(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)cc(S(=O)(=O)N2CCOCC2)c1C,Ki,6.6,nM
3113,CHEMBL4167303,Cc1c(-c2ccccc2)cn(Cc2ccc(F)cc2)c(=O)c1C(=O)NC1CCCCCC1,EC50,12.0,nM
3124,CHEMBL584105,CC(=O)CCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,Ki,1.0,nM
3128,CHEMBL453843,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CC2CC2)nc1,Ki,27.0,nM
3132,CHEMBL511021,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(OCC3CC3)cc1)n2CCC(C)C,EC50,43.0,nM
3137,CHEMBL4249273,CC1=CC[C@H]2[C@H](C1)c1c(O)cc(/C(C)=N/OCCCC#N)cc1OC2(C)C,Ki,1.3,nM
3139,CHEMBL3647314,CC(C)Cn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(Cl)ccc1OC1CC1,Ki,9.9,nM
3143,CHEMBL253059,Cc1ccc(C(=O)N2CCCCC2)cc1S(=O)(=O)N1CCCCC1,EC50,82.0,nM
3147,CHEMBL2326033,CCN(CC)c1ccc(CN(C(=O)Cc2ccccc2)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,Ki,60.0,nM
3148,CHEMBL2326294,CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c2ccccc2)cc1,Ki,3.4,nM
3151,CHEMBL442447,Cc1ccc(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)cc1S(=O)(=O)N1CCOCC1,EC50,9.3,nM
3153,CHEMBL3582029,CCOC(=O)C(CC)(CC)NC(=O)c1ccc(N2CC(O[11CH3])C2)c(OCC2CC2)n1,Ki,2.5,nM
3157,CHEMBL2057795,CCN1CCN(c2nc(C)nc3sc(-c4ccccc4)cc23)CC1,Ki,82.0,nM
3163,CHEMBL3354940,CC(C)(NC(=O)c1nn(CCN2CCOCC2)c2c1C[C@H]1C[C@@H]21)c1ccccc1,EC50,2.1,nM
3170,CHEMBL2163964,CCC1COc2cccc3c(=O)c(C(=O)NC4CCCCCC4)cn1c23,IC50,42.0,nM
3173,CHEMBL3581225,CCN(CC)C1(c2nc(-c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)cs2)CCOCC1,Ki,77.4,nM
3181,CHEMBL3354962,CC(C)(C)NC(=O)c1nn(-c2ccc(F)cc2F)c2c1C[C@@H]1C[C@H]21,EC50,7.2,nM
3192,CHEMBL1765153,O=C(c1ccccc1)N1CC[C@](O)(c2ccccc2)[C@H]2CCCC[C@@H]21,IC50,45.0,nM
3201,CHEMBL3234693,CCNC(=O)c1c(NC(=O)C23CC4CC(CC(C4)C2)C3)sc2c1CCOC2,EC50,21.0,nM
3208,CHEMBL480107,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(CC34CC5CC(CC(C5)C3)C4)cc1OC2(C)C,Ki,26.9,nM
3221,CHEMBL2112646,CC1=CC[C@@H]2[C@@H](C1)c1ccc(CCCCCC(C)(C)C)cc1OC2(C)C,Ki,2.9,nM
3232,CHEMBL199089,C[C@H](NS(C)(=O)=O)c1ccc(Cc2ccc(OC(F)(F)F)cc2S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1,Ki,35.0,nM
3253,CHEMBL244403,CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,Ki,19.0,nM
3256,CHEMBL2019080,O=C(NC1(C(=O)O)CCCC1)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,Ki,56.0,nM
3260,CHEMBL2057799,CCN1CCN(c2nc(C)nc3[nH]c(-c4ccccc4Cl)nc23)CC1,EC50,4.7,nM
3262,CHEMBL3650134,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2NNC(=O)C(C)(C)C)cc(C(C)(C)C)n1C,Ki,0.4,nM
3264,CHEMBL473697,Cc1ccc(-c2n[nH]c(CC(C)(C)C)n2)cc1S(=O)(=O)N1CCOCC1,Ki,85.0,nM
3266,CHEMBL474300,Cc1ccc(-c2nc(CC(C)(C)C)c[nH]2)cc1S(=O)(=O)N1CCOCC1,Ki,36.0,nM
3267,CHEMBL500856,Cc1ccc(-c2nc(C(C)(C)C)c[nH]2)cc1S(=O)(=O)N1CCOCC1,EC50,58.0,nM
3269,CHEMBL514490,Cc1ccc(NC(=O)C2CCCCC2C)cc1S(=O)(=O)N1CCOCC1,Ki,14.0,nM
3271,CHEMBL515866,Cc1ccc(NC(=O)C2(C)CCCCC2)cc1S(=O)(=O)N1CCOCC1,Ki,35.0,nM
3276,CHEMBL3410825,CCCCCOc1c(OC)ccc2c1CCN(CCc1ccc(O)cc1)C2=O,Ki,1.8,nM
3281,CHEMBL109972,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(CO)cc1-2,Ki,26.6,nM
3282,CHEMBL3092886,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3F)n(C3CCOCC3)c2n1,EC50,82.7,nM
3283,CHEMBL3092896,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n(CCS(C)(=O)=O)c2n1,Ki,37.5,nM
3284,CHEMBL469006,c1ccc2ncc(N3CCC(c4nc(C5CCCCC5)no4)CC3)cc2c1,EC50,26.0,nM
3286,CHEMBL523084,CCCCCN1C(=O)/C(=N\NC(=O)c2ccccc2)c2ccc(OC)cc21,EC50,5.8,nM
3291,CHEMBL4462947,CCCCc1sc(NC(=O)C23CC4CC(CC(C4)C2)C3)c(C(=O)OC)c1C,Ki,1.72,nM
3298,CHEMBL272176,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(O)c(O)cc23)C1(C)C,Ki,21.0,nM
3299,CHEMBL272876,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(OCc4ccccc4)cc23)C1(C)C,Ki,1.259,nM
3304,CHEMBL3092901,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n(C3CCOCC3)c2n1,EC50,20.1,nM
3309,CHEMBL429804,Cc1c(C(C)(C)C)s/c(=N\S(=O)(=O)c2ccccc2)n1CC1CC1,IC50,65.0,nM
3315,CHEMBL2205594,O=C(Nc1sc2c(c1C(=O)N1CCC(F)(F)CC1)CCOC2)c1ccccc1C(F)(F)F,EC50,1.4,nM
3316,CHEMBL411631,COc1cccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c12,Ki,0.1259,nM
3318,CHEMBL308777,COc1ccc2c(c1)c(CN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl,Ki,22.0,nM
3324,CHEMBL4852456,CCCCC1(c2cc(O)c3cc(Cc4ccccn4)c(=O)oc3c2)CCCCC1,Ki,72.44,nM
3326,CHEMBL232336,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2nsnc12,Ki,1.3,nM
3328,CHEMBL500925,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2ccc(Cl)c(C)c21,Ki,25.5,nM
3331,CHEMBL2326311,CCN(CC)c1ccc(CN([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)S(=O)(=O)c2cccc(C)c2)cc1,Ki,19.01,nM
3332,CHEMBL2326310,CCN(CC)c1ccc(CN([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)S(=O)(=O)c2ccc(C)cc2)cc1,Ki,46.99,nM
3344,CHEMBL19847,CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)CC1,Ki,0.8511,nM
3346,CHEMBL3686303,CC(C)(C)NNc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,Ki,3.7,nM
3349,CHEMBL3613117,Cc1ccc(Cn2nc(C(=O)N[C@@H]3CC4CC[C@@]3(C)C4(C)C)cc2-c2ccc(Cl)c(C)c2)cc1,Ki,7.2,nM
3354,CHEMBL596135,O=S(=O)(c1ccccn1)c1ccc(C(F)(F)F)cc1S(=O)(=O)N1CCC2(CC1)CC2NS(=O)(=O)C(F)(F)F,Ki,5.0,nM
3355,CHEMBL3647321,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2ONC(C)(C)C)sc2ccncc21,Ki,62.0,nM
3357,CHEMBL2163573,C[C@@H]1COc2cccc3c(=O)c(C(=O)NC4CCCCC4)cn1c23,IC50,90.0,nM
3368,CHEMBL2381809,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(CC)cc12,EC50,95.0,nM
3370,CHEMBL68288,COc1cccc2c(C(=O)NC3C(C)(C)[C@@H]4CC[C@@]3(C)C4)cn(CCN3CCOCC3)c12,Ki,11.0,nM
3371,CHEMBL3647301,CCCCn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(Cl)ccc1OCC(N)=O,Ki,3.1,nM
3373,CHEMBL3092892,COCCn1c(-c2ccccc2Cl)nc2c(N3CCN(C(C)=O)CC3)nc(C)nc21,Ki,20.4,nM
3375,CHEMBL3092900,CCN1CCN(c2nc(C)nc3c2nc(-c2ccccc2Cl)n3CC2CCOCC2)CC1,EC50,11.9,nM
