ki,id,smiles
1.3,CHEMBL197777,COc1ccc(S(=O)(=O)c2cc(OC)ccc2S(=O)(=O)c2ccc(CNS(C)(=O)=O)cc2)cc1
0.9,CHEMBL370824,COc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccc(Cl)cc2)c1
7.943,CHEMBL1828801,CCCCCn1cc(C(=O)c2ccccc2-c2ccccc2)c2ccccc21
3.4,CHEMBL371214,CCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21
0.036,CHEMBL1822941,CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c(O)c1OC
2.1,CHEMBL188,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3
180.0,CHEMBL15848,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
4000.0,CHEMBL425217,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1ccc(OC)cc1OC
10000.0,CHEMBL383813,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1cc(OC)cc(OC)c1
21000.0,CHEMBL454951,O=C(NC1CC1)c1cnn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
1580.0,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
15.8,CHEMBL2163931,CCC1COc2cccc3c(=O)c(C(=O)NC(C)CCC(C)C)cn1c23
187.0,CHEMBL2163578,CC[C@H]1COc2cccc3c(=O)c(C(=O)NC4CCCCCC4)cn1c23
152.0,CHEMBL2163932,CCC1COc2cccc3c(=O)c(C(=O)Nc4ccncc4)cn1c23
4760.0,CHEMBL470619,COc1cc(C)cc2oc(=O)c(Cc3ccc(C)cc3)cc12
10000.0,CHEMBL443168,O=c1oc2ccc(I)cc2cc1Cc1ccccc1
10000.0,CHEMBL482742,O=C1c2nn(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)c2OCCN1CC(F)(F)F
7.4,CHEMBL1223588,CCCCCC1=NN(C(=O)N[C@H]2C[C@H]3CC[C@]2(C)C3(C)C)CC1c1ccccc1
6.0,CHEMBL3686300,CC(C)(C)c1cn(C[C@H]2CCCO2)/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OCc2ccccc2)s1
370.0,CHEMBL2441446,CCCCCn1c2ccccc2c2cc(CN3CCCCC3)ccc21
13.4,CHEMBL2170526,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c(C2CC2)c1C
160.0,CHEMBL2179736,CCCCCCCCCC(=O)NC(NC(=O)CCCCCCCCC)c1ccc(N(CC)CC)cc1
5683.0,CHEMBL2179725,O=C(Cc1ccccc1)NC(/C=C/c1ccccc1)NC(=O)Cc1ccccc1
10900.0,CHEMBL2179775,O=C(Cc1ccccc1)NC(NC(=O)Cc1ccccc1)c1ccc(F)cc1
203.0,CHEMBL2179753,O=C(Cc1ccccc1)NC(NC(=O)Cc1ccccc1)c1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1
22.0,CHEMBL2179751,CCCN(CCC)c1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1
0.56,CHEMBL1950329,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1
10000.0,CHEMBL2347044,CCCCCCCCCCCCCCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1
3082.0,CHEMBL328379,CCCCCCc1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2Cl)n1
10000.0,CHEMBL122178,CCCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)c1ccc(C(=O)OCc3ccc4ccccc4c3)cc1-2
51.0,CHEMBL3290053,CCCCCCC(C)(C)c1cc(OC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)C[C@@H]21
6.31,CHEMBL561013,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21
7943.0,CHEMBL412262,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1
3515.0,CHEMBL156264,C/N=C(\NS(=O)(=O)c1ccc(C(F)(F)F)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1
10000.0,CHEMBL560462,O=C(Nc1ccccc1Oc1ccccc1)c1ccc(S(=O)(=O)N2CCc3ccccc32)cc1
6.57,CHEMBL2381673,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccco3)cc12
37.0,CHEMBL2381799,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccc(Cl)cc3Cl)cc12
31.0,CHEMBL2381785,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccccc3)cc12
3940.0,CHEMBL576977,COc1ccc(CCNC(=O)c2nn(-c3ccc(F)cc3F)c(-n3c(C)ccc3C)c2C)cc1Cl
3940.0,CHEMBL574971,Cc1c(C(=O)NCCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(F)cc2F)c1-n1c(C)ccc1C
3940.0,CHEMBL573086,Cc1c(C(=O)Nc2ccc(Cl)cc2)nn(-c2ccc(Cl)c(Cl)c2)c1-n1c(C)ccc1C
900.0,CHEMBL576142,Cc1c(C(=O)NC2CCCC2)nn(-c2ccc(F)cc2F)c1-n1c(C)ccc1C
11779.99,CHEMBL2179767,O=C(Cc1ccccc1)NC(NC(=O)Cc1ccccc1)c1ccccc1C(F)(F)F
3.3,CHEMBL3686333,CC(=O)/C(C)=N/Oc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1
1640.0,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
5.9,CHEMBL462330,CCOc1ccc(Cc2nc3cc(N(C)C(=O)N(CC)CC)ccc3n2CC2CC2)cc1
5.0,CHEMBL409669,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3c(F)c(F)c(F)c(F)c23)C1(C)C
4.571,CHEMBL272882,COc1ccc2c(c1)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1
0.7,CHEMBL466047,C[C@H]1CC[C@@H](NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1
0.9,CHEMBL466651,CC1CCC(NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1
9.0,CHEMBL512063,C[C@H]1CC[C@H](NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1
2.0,CHEMBL3647328,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@H](C)O)sc2ccncc21
18.0,CHEMBL232410,CCCCCCC(C)(C)c1ccc(-c2c(C)cccc2C)c(O)c1
7190.0,CHEMBL555563,O=C(N1CCCCC1)N1CC(O[C@@H](c2ccc(Cl)cc2)c2cccnc2Cl)C1
10000.0,CHEMBL3596741,O=C(/C=C/C=C/c1ccc2c(c1)-c1ccccc1C2)NC1CC1
1320.0,CHEMBL3596755,CCS(=O)(=O)NCCCCCSc1ccc2ccccc2c1
10000.0,CHEMBL3596736,CCS(=O)(=O)NCCCCCOc1ccc2c(c1)OCO2
660.0,CHEMBL525791,Cc1ccc(NC(=O)[C@@H]2C[C@@]3(C)CC[C@]2(C)O3)cc1S(=O)(=O)N1CCOCC1
800.0,CHEMBL475493,O=C(NCc1ccccc1)c1ccc(Br)c(S(=O)(=O)N2CCOCC2)c1
3940.0,CHEMBL411112,N#Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccccc2)c1-n1cccc1
390.0,CHEMBL271783,Cc1c(C(=O)NCC2CCCCC2)nn(-c2ccc(Cl)cc2)c1-n1cccc1
9.5,CHEMBL2336536,CCN(CC)c1ccc(CN(Cc2ccco2)S(=O)(=O)c2ccc(C)cc2)cc1
444.63,CHEMBL188940,CCCCCn1cc(C(=O)Cc2ccc(OC)cc2)c2ccccc21
169.82,CHEMBL563390,CCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21
1.901,CHEMBL563929,CCCCCn1cc(C(=O)c2cccc3cc(OC)ccc23)c2ccccc21
11.99,CHEMBL562350,CCCn1c(C)c(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21
158.85,CHEMBL365878,CCCCCn1cc(C(=O)Cc2ccccc2)c2ccccc21
