,id,pose,rmsd_value
0,CHEMBL569292,4,1.719431487439962
1,CHEMBL568094,1,1.0814781181327713
2,CHEMBL226685,2,1.3329209814753245
3,CHEMBL230715,8,5.187476187897155
4,CHEMBL230294,1,1.2796770914310114
5,CHEMBL567461,1,0.9741797985998274
6,CHEMBL2096840,9,2.121013323211662
7,CHEMBL385767,9,2.170343490479483
8,CHEMBL567679,1,1.122042619511398
9,CHEMBL219480,3,3.8183991584606933
10,CHEMBL231636,1,1.8320341517923002
11,CHEMBL2113250,3,1.9634005950268334
12,CHEMBL568849,2,0.8683534303496475
13,CHEMBL226684,2,0.8852233132298957
14,CHEMBL226534,1,2.0504006646785613
15,CHEMBL2113253,2,1.4854192529864616
16,CHEMBL572097,4,1.751980308108513
17,CHEMBL231245,2,0.8319968950262575
18,CHEMBL226590,7,2.6121550736953307
19,CHEMBL220360,3,1.5028160510632476
20,CHEMBL584309,1,1.084432312318293
21,CHEMBL387526,3,2.43893460346931
22,CHEMBL373626,3,0.9929776521387873
23,CHEMBL1209596,2,1.7299783405648554
24,CHEMBL2113251,2,1.8715388099746635
25,CHEMBL387027,8,1.8523225421076104
26,CHEMBL513814,6,1.992701123266273
27,CHEMBL374791,5,3.009618680165312
28,CHEMBL230189,4,1.6749545784886224
29,CHEMBL227329,2,1.9115655549752255
30,CHEMBL567513,1,1.4198817133831958
31,CHEMBL376767,2,2.417302173912067
32,CHEMBL582820,2,1.4979904939618276
33,CHEMBL219188,6,1.6617514130039697
34,CHEMBL226589,2,1.6128783227109749
35,CHEMBL567874,7,1.1351195179363274
36,CHEMBL226591,4,1.6180010719248612
37,CHEMBL226640,5,1.566459486415351
38,CHEMBL582806,2,1.3934997237172313
39,CHEMBL226642,3,1.1755371511568657
40,CHEMBL376794,6,1.9914440618839646
41,CHEMBL572271,2,0.8815978448249517
42,CHEMBL2113249,3,1.7955180022911839
43,CHEMBL511245,9,1.2946607406318202
44,CHEMBL2113255,6,2.033228651676933
45,CHEMBL567876,1,1.274498489602871
46,CHEMBL468313,7,1.4729172206505323
