,id,pose,rmsd_value
0,CHEMBL471367,1,1.6802066671824765
1,CHEMBL471296,1,1.3233588438627029
2,CHEMBL139475,4,3.595944098778298
3,CHEMBL471122,1,2.0117140011001124
4,CHEMBL519575,3,2.0290451941738508
5,CHEMBL344623,1,1.3894815441517967
6,CHEMBL398905,3,1.487558845894844
7,CHEMBL74662,1,1.2553642810996612
8,CHEMBL136120,5,14.092281701697567
9,CHEMBL119592,1,1.9765327479461865
10,CHEMBL57802,2,1.4169342100307818
11,CHEMBL471123,2,2.43660968925632
12,CHEMBL336658,1,3.631691796902968
13,CHEMBL120669,1,3.1190544091771484
14,CHEMBL252947,4,1.9761874035238038
15,CHEMBL487464,2,1.9587415366524006
16,CHEMBL41721,2,1.6444593730553607
17,CHEMBL59540,2,6.942429473894567
18,CHEMBL336670,3,1.6688560337963432
19,CHEMBL456341,1,1.7427687316026335
20,CHEMBL325389,3,1.7323110660703032
21,CHEMBL487463,1,1.675726873794043
22,CHEMBL140353,2,3.420258317954722
23,CHEMBL276083,2,3.496623488192834
24,CHEMBL471988,1,2.391100800266906
25,CHEMBL337536,2,1.7880213562400116
26,CHEMBL163430,1,1.2660225281039303
27,CHEMBL159611,3,1.1441175800751586
28,CHEMBL512343,2,1.7932323391636185
29,CHEMBL472115,1,7.00321814914004
30,CHEMBL294472,6,1.8274963950919507
31,CHEMBL162746,1,1.248754779770632
32,CHEMBL239840,5,3.2700708061023813
33,CHEMBL252536,2,1.4306106213781584
34,CHEMBL521366,2,1.5704996020375175
35,CHEMBL471366,1,2.2540122333625763
36,CHEMBL471295,6,1.6978253411022257
37,CHEMBL334533,8,1.6454695716150791
38,CHEMBL140404,4,6.888576147953499
39,CHEMBL56288,4,1.80424726686782
40,CHEMBL252949,3,1.7072623960273032
41,CHEMBL337094,1,1.7690518212177524
42,CHEMBL307696,1,1.400087933746385
43,CHEMBL252742,1,1.0532176340222301
44,CHEMBL67464,1,1.1592162179679855
45,CHEMBL418555,1,1.5822149790720603
46,CHEMBL344455,1,1.2483967564594445
47,CHEMBL138772,1,1.508496271125653
48,CHEMBL138917,3,1.9020977795484024
49,CHEMBL600602,3,1.3653172742111115
50,CHEMBL199561,2,3.1425524657513675
51,CHEMBL58501,2,6.257421830351776
52,CHEMBL512511,1,2.030209649819994
53,CHEMBL471297,1,1.4326909542432278
54,CHEMBL947,1,0.8722707104492803
55,CHEMBL512531,2,1.8622413516652057
56,CHEMBL267227,2,0.8741459931792313
57,CHEMBL2218896,4,1.2061245630275759
58,CHEMBL411626,2,1.08317629631048
59,CHEMBL75330,2,1.3026774601632558
